id,response_date,age,sex_ja,sex_en,prefecture_ja,prefecture_en,occupation_ja,occupation_en,industry_ja,industry_en,household_income_ja,household_income_en,marital_status_ja,marital_status_en,children_ja,children_en,q1_spending_view_ja,q1_spending_view_en,q2_shopping_time_ja,q2_shopping_time_en,q3_consumption_note_ja,q3_consumption_note_en
1,2026-05-25,42,男性,Male,東京都,Tokyo,公務員,Public servant,協同組合・教育関連・公務員,Co-op / education / public sector,1500～2000万円未満,¥15–20M,既婚,Married,子ども有り,With children,特に何もない,Neutral,夜,Night,ネットショップで家で時間ある時,"When I have time at home, shopping online"
2,2026-05-25,44,男性,Male,東京都,Tokyo,公務員,Public servant,協同組合・教育関連・公務員,Co-op / education / public sector,1000～1200万円未満,¥10–12M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,夜,Night,思いつきで買うことが多い,Often buy things on impulse
3,2026-05-25,54,男性,Male,神奈川県,Kanagawa,会社員（その他）,Company employee (other),製造業（自動車・輸送機器）,Manufacturing (automotive / transport equipment),400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,食費,Food expenses
4,2026-05-25,43,女性,Female,徳島県,Tokushima,公務員,Public servant,協同組合・教育関連・公務員,Co-op / education / public sector,800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,家族と一緒に買い物に行く,Go shopping with family
5,2026-05-25,52,女性,Female,愛知県,Aichi,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",400～600万円未満,¥4–6M,既婚,Married,子ども無し,Without children,ポジティブな感情,Positive,昼,Daytime,買い物,Shopping
6,2026-05-25,38,女性,Female,広島県,Hiroshima,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,特に何もない,Neutral,夜,Night,外食,Eating out
7,2026-05-25,54,女性,Female,東京都,Tokyo,会社員（事務系）,Company employee (clerical),サービス業（その他）,Services (other),800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,夜,Night,ネットショッピングが好き,Like online shopping
8,2026-05-25,37,女性,Female,東京都,Tokyo,会社員（事務系）,Company employee (clerical),医療業,Healthcare,わからない・回答したくない,Prefer not to say,未婚,Single,子ども無し,Without children,特に何もない,Neutral,昼,Daytime,休日の昼間にショッピングモールにいることが多い,Often at shopping malls during the day on weekends
9,2026-05-25,31,女性,Female,岐阜県,Gifu,会社員（事務系）,Company employee (clerical),卸売・小売業（自動車・輸送機器）,Wholesale / retail (automotive / transport),800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,買い物,Shopping
10,2026-05-25,56,男性,Male,埼玉県,Saitama,会社員（技術系）,Company employee (technical),ソフトウェア・情報サービス業,Software / IT services,800～1000万円未満,¥8–10M,未婚,Single,子ども無し,Without children,ポジティブな感情,Positive,"昼, 夜","Daytime, Night",体験に多くを消費する,Spend a lot on experiences
11,2026-05-25,56,男性,Male,青森県,Aomori,会社員（技術系）,Company employee (technical),製造業（その他）,Manufacturing (other),400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,安く買う,Buy cheap
12,2026-05-25,58,男性,Male,岩手県,Iwate,会社員（技術系）,Company employee (technical),建設業,Construction,800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,基本的に必要最小限のものを買う,Basically buy only the bare minimum
13,2026-05-25,46,女性,Female,北海道,Hokkaido,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",600～800万円未満,¥6–8M,既婚,Married,子ども無し,Without children,ネガティブな感情,Negative,昼,Daytime,余計なものを買わない,Don't buy unnecessary things
14,2026-05-25,51,女性,Female,沖縄県,Okinawa,会社員（技術系）,Company employee (technical),その他,Other,200～400万円未満,¥2–4M,未婚,Single,子ども有り,With children,特に何もない,Neutral,昼,Daytime,ランチを楽しむ,Enjoy lunch
15,2026-05-25,54,男性,Male,埼玉県,Saitama,その他,Other,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",200万円未満,Under ¥2M,未婚,Single,子ども無し,Without children,ネガティブな感情,Negative,昼,Daytime,ポイントがたまるお店やクーポンがあるお店を徹底的に調べる,Thoroughly research stores where points accumulate and stores with coupons
16,2026-05-25,46,男性,Male,群馬県,Gunma,自営業,Self-employed,農業・林業・漁業・鉱業,Agriculture / forestry / fishery / mining,400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,特に何もない,Neutral,昼,Daytime,農業資材を買う等,"Buying agricultural materials, etc."
17,2026-05-25,60,女性,Female,広島県,Hiroshima,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,朝,Morning,常にお金の計算をしながら買う,Always buy while calculating money
18,2026-05-25,60,男性,Male,東京都,Tokyo,無職,Not employed,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,未婚,Single,子ども無し,Without children,ネガティブな感情,Negative,昼,Daytime,出来るだけ時間をかけて無駄の無い消費を心がけている。,I try to take as much time as possible to avoid wasteful consumption.
19,2026-05-25,55,男性,Male,千葉県,Chiba,会社員（事務系）,Company employee (clerical),製造業（石油製品）,Manufacturing (petroleum products),400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,"昼, 夜","Daytime, Night",趣味への出費が多い,Spend a lot on hobbies
20,2026-05-25,41,男性,Male,富山県,Toyama,会社員（技術系）,Company employee (technical),鉄鋼業,Steel,800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,夜,Night,特にありません,None in particular
21,2026-05-25,51,男性,Male,福岡県,Fukuoka,会社員（事務系）,Company employee (clerical),製造業（AV・家電・電気機械器具）,Manufacturing (AV / appliances / electrical),800～1000万円未満,¥8–10M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,夜,Night,使うときは金額・頻度か集中する,"When I spend, the amount and frequency are concentrated"
22,2026-05-25,49,男性,Male,宮崎県,Miyazaki,会社員（技術系）,Company employee (technical),建設業,Construction,400～600万円未満,¥4–6M,既婚,Married,子ども有り,With children,ネガティブな感情,Negative,夜,Night,なし,None in particular
23,2026-05-25,53,女性,Female,愛知県,Aichi,パート・アルバイト,Part-time worker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",わからない・回答したくない,Prefer not to say,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,"朝, 昼, 夜","Morning, Daytime, Night",普通,Normal
24,2026-05-25,46,女性,Female,神奈川県,Kanagawa,専業主婦（主夫）,Homemaker,勤めていない（専業主婦・学生などを含む）,"Not employed (homemaker / student, etc.)",200～400万円未満,¥2–4M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,仕事,Work
25,2026-05-25,64,女性,Female,千葉県,Chiba,会社員（その他）,Company employee (other),運送・輸送業,Transportation / logistics,600～800万円未満,¥6–8M,既婚,Married,子ども有り,With children,ポジティブな感情,Positive,昼,Daytime,なるべく節約,Save as much as possible
